,OX
2020-09-03 14:00:00,17.0
2020-09-04 02:00:00,2.0
2020-09-04 14:00:00,83.0
2020-09-05 02:00:00,6.0
2020-09-05 14:00:00,43.0
2020-09-06 02:00:00,10.0
2020-09-06 14:00:00,29.0
2020-09-07 02:00:00,5.0
2020-09-07 14:00:00,15.0
2020-09-08 02:00:00,11.0
2020-09-08 14:00:00,41.0
2020-09-09 02:00:00,4.0
2020-09-09 14:00:00,87.0
2020-09-10 02:00:00,8.0
2020-09-10 14:00:00,23.0
2020-09-11 02:00:00,2.0
2020-09-11 14:00:00,55.0
2020-09-12 02:00:00,22.0
2020-09-12 14:00:00,23.0
2020-09-13 02:00:00,14.0
2020-09-13 14:00:00,35.0
2020-09-14 02:00:00,24.0
2020-09-14 14:00:00,42.0
2020-09-15 02:00:00,24.0
2020-09-15 14:00:00,42.666666666666664
2020-09-16 02:00:00,11.0
2020-09-16 14:00:00,48.0
2020-09-17 02:00:00,13.0
2020-09-17 14:00:00,57.5
2020-09-18 02:00:00,7.0
2020-09-18 14:00:00,59.0
2020-09-19 02:00:00,20.0
2020-09-19 14:00:00,31.0
2020-09-20 02:00:00,22.0
2020-09-20 14:00:00,30.0
2020-09-21 02:00:00,9.0
2020-09-21 14:00:00,44.0
2020-09-22 02:00:00,15.0
2020-09-22 14:00:00,53.0
2020-09-23 02:00:00,23.0
2020-09-23 14:00:00,37.0
2020-09-24 02:00:00,39.0
2020-09-24 14:00:00,32.0
2020-09-25 02:00:00,19.0
2020-09-25 14:00:00,27.0
2020-09-26 02:00:00,26.0
2020-09-26 14:00:00,29.0
2020-09-27 02:00:00,22.0
2020-09-27 14:00:00,35.0
2020-09-28 02:00:00,13.0
2020-09-28 14:00:00,44.0
2020-09-29 02:00:00,14.0
2020-09-29 14:00:00,42.0
2020-09-30 02:00:00,18.0
2020-09-30 14:00:00,52.0
