観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年3月3日7時,2.1,12,3.6,10,0.2,0,1,2,1.1,8,0.6,2,1.2,3,0.5,11,3.5,7,0.4,8,0.1,0,0.7,9,0.4,16,0.9,12,0.1,0,0.6,1,2.1,2,0,0,1,4,0.3,11,1.1,3,0.7,7
2018年3月3日8時,3,8,1.4,9,0.5,13,0.8,1,1.1,5,0.8,10,0.8,6,0.3,8,4,7,0.6,5,0.1,0,1.2,7,0.2,0,0.6,5,0.4,2,0.7,1,1.7,2,0.6,16,1.8,2,2,8,0.3,2,1.4,6
2018年3月3日9時,3.1,7,4.2,11,0.2,0,0.3,13,0.7,6,1,15,0.4,5,0.2,0,2.7,8,0.5,5,1,5,3.4,10,0.2,0,0.1,0,0.2,0,0.3,3,0.9,1,0.1,0,2.6,2,2.3,8,0.4,8,2.3,7
2018年3月3日10時,3.6,8,3.9,11,0.5,7,0.5,7,1.3,5,2.2,3,0.5,9,0.7,16,2.1,7,0.5,10,0.4,2,3.3,9,0.8,8,2.2,5,0.4,11,0.6,9,1.3,2,0.3,14,2.2,2,1.2,9,1.9,10,2.3,6
2018年3月3日11時,4.5,7,2.8,12,1.1,3,0.7,2,1.2,16,3.9,3,0.5,13,0.9,13,2.1,16,0.9,16,0.9,12,4.1,9,3.2,7,3.4,6,0.6,10,1.3,6,1.7,2,1.2,15,2.9,3,1,4,2.4,10,2.9,15
2018年3月3日12時,4.2,7,3.6,11,1.2,4,2,7,1.5,16,3.8,3,1.5,11,0.8,11,2.6,14,1,8,1.7,3,3.4,8,3.6,7,3.6,6,0.8,11,1.9,8,1.3,3,1.3,12,2.9,2,0.9,12,2.2,9,3.1,15
2018年3月3日13時,3.9,7,3,12,1,6,2.1,9,1.4,15,4,3,1.6,9,1.6,6,3,15,0.7,7,2.6,5,3.8,8,4.5,7,4.2,8,0.8,9,1.9,8,0.8,9,1.2,12,2,3,1.7,5,2,9,2.1,15
2018年3月3日14時,3,8,2.3,12,1.6,4,2.4,8,2.6,12,3.2,1,2.4,8,4.1,7,1.8,13,1.3,9,4.7,9,3.4,8,3.3,7,3.4,7,0.8,8,2.6,9,0.7,9,2.5,12,1.6,1,1.4,8,1.1,10,1.6,13
2018年3月3日15時,3.1,9,2.9,11,1.8,7,3.2,9,2.8,11,1.6,4,2.6,8,3.4,8,1.7,12,2.2,15,4.7,9,2.7,8,2.1,7,0.8,12,1.8,8,1.9,8,0.1,0,2.7,10,1.4,3,1.6,7,1.4,7,1.2,14
2018年3月3日16時,2,8,2.3,11,1.2,7,3.4,8,1.9,12,1,3,1.8,9,2.3,8,0.9,9,1.3,14,3.1,10,3,9,2.1,8,1.6,6,0.9,8,1.3,9,0.8,16,3,9,3.2,8,1.6,8,3.8,7,1.2,13
2018年3月3日17時,2.7,10,3.6,12,0.3,8,3.4,8,0.1,0,1,6,0.4,4,2.7,7,0.7,8,2.6,8,1.8,8,1.7,9,0.6,7,1.4,8,0.8,7,0.2,0,1.4,16,0.8,9,1.6,2,0.9,11,1.9,6,1.3,13
2018年3月3日18時,1.4,12,4.2,11,0.9,11,2,7,0.6,10,1,5,0.6,3,0.9,5,2.3,8,1,14,0.8,5,1.2,9,0.4,7,1.7,6,0.6,5,1,14,1.3,2,1.2,12,7.9,7,2,10,3.5,5,1.2,4
2018年3月3日19時,1.8,12,3.5,11,0.2,0,1.4,8,0.9,6,1.2,6,0.7,3,0.5,10,3.1,8,1.1,14,0.7,8,1.4,8,0.4,2,1.5,6,0.2,0,0.4,15,1.4,1,0.8,14,2.5,2,2.4,10,3.1,5,1.1,7
2018年3月3日20時,1.6,12,3.4,11,1.7,12,1.4,1,1.3,6,1.4,5,0.4,2,0.9,15,2,8,0.5,15,0.3,4,0.8,8,0.1,0,0.2,0,0,0,0.3,13,1.4,2,0.5,14,3.8,4,2.5,10,3.4,5,2.9,7
