,再現率,適合率,調和平均,特徴量,地点,lag
上位30個_鴻巣_lag=1,78.78787879,83.87096774,81.25,上位30個,鴻巣,1
上位30個_鴻巣_lag=2,30.3030303,71.42857143,42.55319149,上位30個,鴻巣,2
上位30個_鴻巣_lag=3,21.21212121,77.77777778,33.33333333,上位30個,鴻巣,3
下位上位20個_世田谷区世田谷_lag=1,83.33333333,62.5,71.42857143,下位上位20個,世田谷区世田谷,1
下位上位20個_世田谷区世田谷_lag=2,50,48,48.97959184,下位上位20個,世田谷区世田谷,2
下位上位20個_世田谷区世田谷_lag=3,41.66666667,66.66666667,51.28205128,下位上位20個,世田谷区世田谷,3
下位上位20個_多摩市愛宕_lag=1,56.66666667,62.96296296,59.64912281,下位上位20個,多摩市愛宕,1
下位上位20個_多摩市愛宕_lag=2,50,65.2173913,56.60377358,下位上位20個,多摩市愛宕,2
下位上位20個_多摩市愛宕_lag=3,36.66666667,64.70588235,46.80851064,下位上位20個,多摩市愛宕,3
下位上位20個_幸手_lag=1,61.29032258,79.16666667,69.09090909,下位上位20個,幸手,1
下位上位20個_幸手_lag=2,12.90322581,80,22.22222222,下位上位20個,幸手,2
下位上位20個_幸手_lag=3,22.58064516,63.63636364,33.33333333,下位上位20個,幸手,3
下位上位20個_所沢市東所沢_lag=1,71.05263158,75,72.97297297,下位上位20個,所沢市東所沢,1
下位上位20個_所沢市東所沢_lag=2,63.15789474,75,68.57142857,下位上位20個,所沢市東所沢,2
下位上位20個_所沢市東所沢_lag=3,39.47368421,62.5,48.38709677,下位上位20個,所沢市東所沢,3
下位上位20個_東秩父_lag=1,66.66666667,94.11764706,78.04878049,下位上位20個,東秩父,1
下位上位20個_東秩父_lag=2,37.5,81.81818182,51.42857143,下位上位20個,東秩父,2
下位上位20個_東秩父_lag=3,50,57.14285714,53.33333333,下位上位20個,東秩父,3
下位上位20個_江戸川区南葛西_lag=1,71.42857143,100,83.33333333,下位上位20個,江戸川区南葛西,1
下位上位20個_江戸川区南葛西_lag=2,38.0952381,100,55.17241379,下位上位20個,江戸川区南葛西,2
下位上位20個_江戸川区南葛西_lag=3,23.80952381,100,38.46153846,下位上位20個,江戸川区南葛西,3
下位上位20個_草加市西町_lag=1,54.54545455,66.66666667,60,下位上位20個,草加市西町,1
下位上位20個_草加市西町_lag=2,54.54545455,54.54545455,54.54545455,下位上位20個,草加市西町,2
下位上位20個_草加市西町_lag=3,36.36363636,61.53846154,45.71428571,下位上位20個,草加市西町,3
下位上位20個_青梅市東青梅_lag=1,72.22222222,78.78787879,75.36231884,下位上位20個,青梅市東青梅,1
下位上位20個_青梅市東青梅_lag=2,55.55555556,83.33333333,66.66666667,下位上位20個,青梅市東青梅,2
下位上位20個_青梅市東青梅_lag=3,27.77777778,90.90909091,42.55319149,下位上位20個,青梅市東青梅,3
下位上位20個_鴻巣_lag=1,69.6969697,92,79.31034483,下位上位20個,鴻巣,1
下位上位20個_鴻巣_lag=2,30.3030303,83.33333333,44.44444444,下位上位20個,鴻巣,2
下位上位20個_鴻巣_lag=3,54.54545455,56.25,55.38461538,下位上位20個,鴻巣,3
