,観測日時,日最高値
272,2019-06-29 00:00:00,39.0
273,2019-06-30 15:00:00,38.0
274,2019-07-01 14:00:00,26.0
275,2019-07-02 15:00:00,82.0
276,2019-07-03 11:00:00,54.0
277,2019-07-04 12:00:00,63.0
278,2019-07-05 13:00:00,60.0
279,2019-07-06 13:00:00,51.0
280,2019-07-07 12:00:00,38.0
281,2019-07-08 16:00:00,40.0
282,2019-07-09 17:00:00,30.0
283,2019-07-10 14:00:00,49.0
284,2019-07-11 15:00:00,44.0
285,2019-07-12 17:00:00,36.0
286,2019-07-13 13:00:00,63.0
287,2019-07-14 07:00:00,51.0
288,2019-07-15 13:00:00,37.0
289,2019-07-16 17:00:00,24.0
290,2019-07-17 17:00:00,71.0
291,2019-07-18 14:00:00,68.0
292,2019-07-19 16:00:00,55.0
293,2019-07-20 14:00:00,62.0
294,2019-07-21 14:00:00,34.0
295,2019-07-22 14:00:00,23.0
296,2019-07-23 14:00:00,48.0
297,2019-07-24 14:00:00,50.0
298,2019-07-25 15:00:00,91.0
299,2019-07-26 10:00:00,22.0
300,2019-07-27 10:00:00,20.0
301,2019-07-28 14:00:00,55.0
302,2019-07-29 14:00:00,69.0
303,2019-07-30 14:00:00,99.0
304,2019-07-31 15:00:00,109.0
305,2019-08-01 12:00:00,68.0
306,2019-08-02 12:00:00,96.0
307,2019-08-03 15:00:00,105.0
308,2019-08-04 14:00:00,73.0
309,2019-08-05 14:00:00,70.0
310,2019-08-06 13:00:00,67.0
311,2019-08-07 15:00:00,109.0
312,2019-08-08 13:00:00,107.0
313,2019-08-09 15:00:00,113.0
314,2019-08-10 14:00:00,93.0
315,2019-08-11 14:00:00,53.0
316,2019-08-12 16:00:00,38.0
317,2019-08-13 15:00:00,34.0
318,2019-08-14 09:00:00,20.0
319,2019-08-15 10:00:00,22.0
320,2019-08-16 09:00:00,40.0
321,2019-08-17 16:00:00,81.0
322,2019-08-18 14:00:00,53.0
323,2019-08-19 14:00:00,45.0
324,2019-08-20 13:00:00,43.0
325,2019-08-21 13:00:00,61.0
326,2019-08-22 16:00:00,52.0
327,2019-08-23 13:00:00,25.0
